Dato;Samlet udlån;Fast forrentede lån;Variabelt forrentede nominallån;Samlet udlån;Fast forrentede lån;Variabelt forrentede nominallån
31/03/2008;2070,382;977,42;1092,962;915,709;282,152;633,557
30/06/2008;2120,666;977,652;1143,014;968,448;290,958;677,49
30/09/2008;2135,904;975,282;1160,622;1002,494;300,481;702,013
31/12/2008;2170,434;966,817;1203,617;1051,926;301,748;750,178
31/03/2009;2211,425;966,016;1245,409;1087,13;302,323;784,807
30/06/2009;2244,742;881,78;1362,962;1121,062;254,725;866,337
30/09/2009;2274,707;844,434;1430,273;1151,511;235,583;915,928
31/12/2009;2290,673;798,781;1491,892;1171,91;214,801;957,109
31/03/2010;2309,367;749,999;1559,368;1196,46;193,094;1003,366
30/06/2010;2330,466;721,812;1608,654;1219,315;180,085;1039,23
30/09/2010;2348,947;713,113;1635,834;1237,603;175,442;1062,161
31/12/2010;2363,102;701,075;1662,027;1255,877;174,184;1081,693
31/03/2011;2375,446;693,873;1681,572;1269,171;173,028;1096,144
30/06/2011;2388,683;690,65;1698,032;1285,237;174,593;1110,644
30/09/2011;2400,296;689,175;1711,121;1300,439;176,068;1124,372
31/12/2011;2412,187;658,846;1753,34;1317,209;165,62;1151,589
31/03/2012;2427,872;636,141;1791,731;1329,661;152,773;1176,888
30/06/2012;2451,075;635,082;1815,993;1343,914;152,225;1191,69
30/09/2012;2463,664;653,179;1810,485;1351,042;167,297;1183,745
31/12/2012;2479,337;664,314;1815,023;1351,384;171,864;1179,52
31/03/2013;2487,999;666,543;1821,456;1357,925;174,718;1183,207
30/06/2013;2499,345;669,711;1829,634;1363,029;177,427;1185,602
30/09/2013;2510,373;681,429;1828,944;1370,957;183,647;1187,31
31/12/2013;2514,418;688,238;1826,181;1361,657;185,174;1176,483
31/03/2014;2521,525;683,96;1837,565;1359,704;185,831;1173,873
30/06/2014;2525,761;683,398;1842,362;1360,34;186,483;1173,857
30/09/2014;2531,994;692,061;1839,933;1362,349;189,489;1172,861
31/12/2014;2534,927;706,953;1827,974;1350,131;187,719;1162,412
31/03/2015;2544,968;750,452;1794,516;1328,534;196,226;1132,309
30/06/2015;2565,707;781,841;1783,866;1326,923;206,53;1120,393
30/09/2015;2576,751;805,65;1771,101;1316,698;209,66;1107,038
31/12/2015;2599,55;826,79;1772,76;1311,11;214,106;1097,003
31/03/2016;2600,915;835,403;1765,511;1297,244;217,147;1080,097
30/06/2016;2609,956;837,221;1772,734;1289,717;214,003;1075,714
30/09/2016;2619,715;856,892;1762,823;1282,714;217,617;1065,097
31/12/2016;2629,137;875,832;1753,304;1273,561;215,181;1058,38
31/03/2017;2640,21;889,423;1750,787;1260,763;218,591;1042,172
30/06/2017;2653,52;899,612;1753,907;1256,211;221,767;1034,444
30/09/2017;2674,495;916,673;1757,822;1251,331;224,49;1026,842
31/12/2017;2700,275;928,059;1772,215;1238,837;223,876;1014,96
31/03/2018;2703,69;948,615;1755,075;1221,466;228,024;993,441
30/06/2018;2722,007;962,572;1759,435;1221,663;233,081;988,583
30/09/2018;2736,296;976,289;1760,007;1219,81;237,569;982,241
31/12/2018;2757,108;993,699;1763,409;1221,805;244,359;977,446
31/03/2019;2770,265;1011,643;1758,622;1205,887;248,952;956,935
30/06/2019;2793,343;1031,182;1762,161;1202,597;255,797;946,8
30/09/2019;2827,805;1079,255;1748,551;1207,694;271,827;935,868
31/12/2019;2858,201;1128,457;1729,744;1219,284;290,385;928,899
31/03/2020;2876,727;1165,879;1710,848;1216,815;307,516;909,299