dato;samlet;afdragsfri;afdragsfri variabel;af.andel;afv.andel
31/03/2008;2070,382;915,709;633,557;44,22898769;30,60097122
30/06/2008;2120,666;968,448;677,49;45,66716305;31,94703928
30/09/2008;2135,904;1002,494;702,013;46,93534915;32,86725433
31/12/2008;2170,434;1051,926;750,178;48,4661593;34,56350205
31/03/2009;2211,425;1087,13;784,807;49,15970472;35,48874594
30/06/2009;2244,742;1121,062;866,337;49,94168595;38,59405669
30/09/2009;2274,707;1151,511;915,928;50,62238785;40,2657573
31/12/2009;2290,673;1171,91;957,109;51,16007392;41,78287342
31/03/2010;2309,367;1196,46;1003,366;51,80900221;43,44766336
30/06/2010;2330,466;1219,315;1039,23;52,32065175;44,59322728
30/09/2010;2348,947;1237,603;1062,161;52,68756596;45,21860221
31/12/2010;2363,102;1255,877;1081,693;53,14527261;45,77428312
31/03/2011;2375,446;1269,171;1096,144;53,42874559;46,14476608
30/06/2011;2388,683;1285,237;1110,644;53,80525587;46,49608173
30/09/2011;2400,296;1300,439;1124,372;54,17827635;46,84305602
31/12/2011;2412,187;1317,209;1151,589;54,60642148;47,74045296
31/03/2012;2427,872;1329,661;1176,888;54,76651982;48,47405465
30/06/2012;2451,075;1343,914;1191,69;54,82957478;48,6190753
30/09/2012;2463,664;1351,042;1183,745;54,83872801;48,04815105
31/12/2012;2479,337;1351,384;1179,52;54,50586185;47,5740087
31/03/2013;2487,999;1357,925;1183,207;54,57900104;47,55657056
30/06/2013;2499,345;1363,029;1185,602;54,53544829;47,43650837
30/09/2013;2510,373;1370,957;1187,31;54,6116852;47,29615878
31/12/2013;2514,418;1361,657;1176,483;54,15396326;46,78947574
31/03/2014;2521,525;1359,704;1173,873;53,92387543;46,55408929
30/06/2014;2525,761;1360,34;1173,857;53,85861924;46,4753791
30/09/2014;2531,994;1362,349;1172,861;53,80538027;46,32163425
31/12/2014;2534,927;1350,131;1162,412;53,26113928;45,85583727
31/03/2015;2544,968;1328,534;1132,309;52,20238526;44,4920722
30/06/2015;2565,707;1326,923;1120,393;51,71763572;43,66800262
30/09/2015;2576,751;1316,698;1107,038;51,09915549;42,96255245
31/12/2015;2599,55;1311,11;1097,003;50,43603701;42,19972688
31/03/2016;2600,915;1297,244;1080,097;49,87644733;41,52757779
30/06/2016;2609,956;1289,717;1075,714;49,4152775;41,21579061
30/09/2016;2619,715;1282,714;1065,097;48,96387584;40,65697986
31/12/2016;2629,137;1273,561;1058,38;48,44026766;40,25579496
31/03/2017;2640,21;1260,763;1042,172;47,75237576;39,47307222
30/06/2017;2653,52;1256,211;1034,444;47,34130513;38,98384033
30/09/2017;2674,495;1251,331;1026,842;46,78756176;38,39386501
31/12/2017;2700,275;1238,837;1014,96;45,87817907;37,58728278
31/03/2018;2703,69;1221,466;993,441;45,17773857;36,74389446
30/06/2018;2722,007;1221,663;988,583;44,88096467;36,31816524
30/09/2018;2736,296;1219,81;982,241;44,57887597;35,89673778
31/12/2018;2757,108;1221,805;977,446;44,31473123;35,45185753
31/03/2019;2770,265;1205,887;956,935;43,52966232;34,54308523
30/06/2019;2793,343;1202,597;946,8;43,05224958;33,89487077
30/09/2019;2827,805;1207,694;935,868;42,70782462;33,09520989
31/12/2019;2858,201;1219,284;928,899;42,65914119;32,49942884
31/03/2020;2876,727;1216,815;909,299;42,29859142;31,60880403